id;match_no;match_type;group_no;group_match_seq;round_num;match_status;next_match_no
8ab6ff43-bb4b-48;ha wherea;ROUND_ROBIN;850;335;24372;CLOSE;yum astri
4385e21e-05f0-4f;harm;ROUND_ROBIN;827;993;6874;PLAYING;after phr
04833d53-0c83-4d;바쁘게 inasm;LOSER_ELIMINATION;318;373;738;CLOSE;hmph
2d90ada9-0a1a-42;borrow un;WINNER_ELIMINATION;691;925;31214;PLAYING;오후
9cd305e3-c578-46;adorn;WINNER_ELIMINATION;579;761;29459;WAIT;고급의 phew 
783c1ff9-320f-4f;어지러운 부사 o;ROUND_ROBIN;657;734;19970;WAIT;quarterba
b6f280ec-709f-4e;through t;WINNER_ELIMINATION;908;414;20540;WAIT;행복하게 as b
d6b7424e-36ce-4d;and likew;WINNER_ELIMINATION;212;160;31424;CLOSE;yahoo
ac129900-c6c9-4d;흔한 the pr;LOSER_ELIMINATION;106;383;17509;WAIT;진술서 confu
e425aa4c-8c1d-48;비정상적으로 un;ROUND_ROBIN;371;591;26053;WAIT;우연히 닫힌
